topic,title,src,link
CURIOSITY,"Above all, watch with glittering eyes the whole world around you, because the greatest secrets are always hidden in the most unlikely places. ",https://assets.passiton.com/quotes/quote_artwork/6799/medium/20230922_friday_quote.jpg,https://www.passiton.com//inspirational-quotes/6799-above-all-watch-with-glittering-eyes-the-whole
CURIOSITY,"Be curious, not judgmental.  ",https://assets.passiton.com/quotes/quote_artwork/4543/medium/20230921_thursday_quote.jpg,https://www.passiton.com//inspirational-quotes/4543-be-curious-not-judgmental
CURIOSITY,Curiosity is more important than knowledge. ,https://assets.passiton.com/quotes/quote_artwork/8329/medium/20230920_wednesday_quote.jpg,https://www.passiton.com//inspirational-quotes/8329-curiosity-is-more-important-than-knowledge
CURIOSITY,"I think, at a child's birth, if a mother could ask a fairy godmother to endow it with the most useful gift, that gift would be curiosity. ",https://assets.passiton.com/quotes/quote_artwork/8328/medium/20230919_tuesday_quote.jpg,https://www.passiton.com//inspirational-quotes/8328-i-think-at-a-childs-birth-if-a-mother-could
CURIOSITY,"Somewhere, something incredible is waiting to be known. ",https://assets.passiton.com/quotes/quote_artwork/4014/medium/20230918_monday_quote.jpg,https://www.passiton.com//inspirational-quotes/4014-somewhere-something-incredible-is-waiting-to
CONFIDENCE,Never dull your shine for somebody else. ,https://assets.passiton.com/quotes/quote_artwork/8392/medium/20230915_friday_quote.jpg,https://www.passiton.com//inspirational-quotes/8392-never-dull-your-shine-for-somebody-else
CONFIDENCE,"You have no control over other people's taste, so focus on staying true to your own. ",https://assets.passiton.com/quotes/quote_artwork/8391/medium/20230914_thursday_quote.jpg,https://www.passiton.com//inspirational-quotes/8391-you-have-no-control-over-other-peoples-taste
CONFIDENCE,"Stay afraid, but do it anyway. What’s important is the action. You don’t have to wait to be confident. Just do it and eventually the confidence will follow.  ",https://assets.passiton.com/quotes/quote_artwork/8307/medium/20230913_wednesday_quote.jpg,https://www.passiton.com//inspirational-quotes/8307-stay-afraid-but-do-it-anyway-what-s-important
CONFIDENCE,It is not the mountain we conquer but ourselves. ,https://assets.passiton.com/quotes/quote_artwork/7907/medium/20230912_tuesday_quote.jpg,https://www.passiton.com//inspirational-quotes/7907-it-is-not-the-mountain-we-conquer-but-ourselves
CONFIDENCE,Every small positive change we make in ourselves repays us in confidence in the future. ,https://assets.passiton.com/quotes/quote_artwork/6990/medium/20230911_monday_quote.jpg,https://www.passiton.com//inspirational-quotes/6990-every-small-positive-change-we-make-in
PREPARATION,"First, I prepare. Then I have faith. ",https://assets.passiton.com/quotes/quote_artwork/8181/medium/20230908_friday_quote.jpg,https://www.passiton.com//inspirational-quotes/8181-first-i-prepare-then-i-have-faith
PREPARATION,"We cannot always build the future for our youth, but we can build our youth for the future.  ",https://assets.passiton.com/quotes/quote_artwork/6108/medium/20230907_thursday_quote.jpg,https://www.passiton.com//inspirational-quotes/6108-we-cannot-always-build-the-future-for-our
PREPARATION,"Don't judge each day by the harvest you reap, but by the seeds that you plant. ",https://assets.passiton.com/quotes/quote_artwork/6516/medium/20230906_wednesday_quote.jpg,https://www.passiton.com//inspirational-quotes/6516-dont-judge-each-day-by-the-harvest-you-reap
PREPARATION,"It’s better to look ahead and prepare, than to look back and regret. ",https://assets.passiton.com/quotes/quote_artwork/8390/medium/20230905_tuesday_quote.jpg,https://www.passiton.com//inspirational-quotes/8390-it-s-better-to-look-ahead-and-prepare-than-to
